gu_code,ldong_code,ldong_name
11110,1111010100,청운동
11110,1111010200,신교동
11110,1111010300,궁정동
11110,1111010400,효자동
11110,1111010500,창성동
11110,1111010600,통의동
11110,1111010700,적선동
11110,1111010800,통인동
11110,1111010900,누상동
11110,1111011000,누하동
11110,1111011100,옥인동
11110,1111011200,체부동
11110,1111011300,필운동
11110,1111011400,내자동
11110,1111011500,사직동
11110,1111011600,도렴동
11110,1111011700,당주동
11110,1111011800,내수동
11110,1111011900,세종로
11110,1111012000,신문로1가
11110,1111012100,신문로2가
11110,1111012200,청진동
11110,1111012300,서린동
11110,1111012400,수송동
11110,1111012500,중학동
11110,1111012600,종로1가
11110,1111012700,공평동
11110,1111012800,관훈동
11110,1111012900,견지동
11110,1111013000,와룡동
11110,1111013100,권농동
11110,1111013200,운니동
11110,1111013300,익선동
11110,1111013400,경운동
11110,1111013500,관철동
11110,1111013600,인사동
11110,1111013700,낙원동
11110,1111013800,종로2가
11110,1111013900,팔판동
11110,1111014000,삼청동
11110,1111014100,안국동
11110,1111014200,소격동
11110,1111014300,화동
11110,1111014400,사간동
11110,1111014500,송현동
11110,1111014600,가회동
11110,1111014700,재동
11110,1111014800,계동
11110,1111014900,원서동
11110,1111015000,훈정동
11110,1111015100,묘동
11110,1111015200,봉익동
11110,1111015300,돈의동
11110,1111015400,장사동
11110,1111015500,관수동
11110,1111015600,종로3가
11110,1111015700,인의동
11110,1111015800,예지동
11110,1111015900,원남동
11110,1111016000,연지동
11110,1111016100,종로4가
11110,1111016200,효제동
11110,1111016300,종로5가
11110,1111016400,종로6가
11110,1111016500,이화동
11110,1111016600,연건동
11110,1111016700,충신동
11110,1111016800,동숭동
11110,1111016900,혜화동
11110,1111017000,명륜1가
11110,1111017100,명륜2가
11110,1111017200,명륜4가
11110,1111017300,명륜3가
11110,1111017400,창신동
11110,1111017500,숭인동
11110,1111017600,교남동
11110,1111017700,평동
11110,1111017800,송월동
11110,1111017900,홍파동
11110,1111018000,교북동
11110,1111018100,행촌동
11110,1111018200,구기동
11110,1111018300,평창동
11110,1111018400,부암동
11110,1111018500,홍지동
